count,timestamp_local,timestamp_unix,Time [sec],module_address,PIR sensor 00 (center) [V],PIR sensor 01 (tv) [V],PIR sensor 02 (kitchen) [V],PIR sensor 03 (closet) [V],PIR sensor 04 (sofa) [V]
600,2026-06-23 17:21:07.609,1782202867.609843,27.20326280593872,192.168.11.5,1.4572649002075195,1.1282051801681519,1.08669114112854,1.2417582273483276,1.3321123123168945
601,2026-06-23 17:21:07.616,1782202867.616395,27.20981478691101,192.168.11.5,1.534798502922058,1.1385836601257324,1.0934065580368042,1.17399263381958,1.0757020711898804
602,2026-06-23 17:21:07.617,1782202867.617065,27.210484743118286,192.168.11.5,1.6043956279754639,1.1471306085586548,1.1092796325683594,1.1031745672225952,0.8070818185806274
603,2026-06-23 17:21:07.618,1782202867.618721,27.212140798568726,192.168.11.5,1.6599512100219727,1.1526252031326294,1.1141636371612549,1.0341880321502686,0.5354090332984924
604,2026-06-23 17:21:07.618,1782202867.618721,27.212140798568726,192.168.11.5,1.7142857313156128,1.1562881469726562,1.115384578704834,0.9438339471817017,0.2490842491388321
605,2026-06-23 17:21:07.663,1782202867.663822,27.25724148750305,192.168.11.5,1.7362637519836426,1.1581196784973145,1.1172161102294922,0.8516483306884766,0.04700854793190956
606,2026-06-23 17:21:07.820,1782202867.820219,27.413638591766357,192.168.11.5,1.749084234237671,1.1550672054290771,1.1135531663894653,0.7411477565765381,0.0067155067808926105
607,2026-06-23 17:21:07.822,1782202867.822251,27.41567087173462,192.168.11.5,1.7368742227554321,1.157509207725525,1.1208791732788086,0.6239316463470459,0.006105006206780672
608,2026-06-23 17:21:07.823,1782202867.823264,27.41668391227722,192.168.11.5,1.702075719833374,1.157509207725525,1.1233211755752563,0.504273533821106,0.007936508394777775
609,2026-06-23 17:21:07.823,1782202867.823264,27.41668391227722,192.168.11.5,1.6556776762008667,1.1483516693115234,1.129426121711731,0.37240538001060486,0.006105006206780672
610,2026-06-23 17:21:07.905,1782202867.905334,27.498753786087036,192.168.11.5,1.5989011526107788,1.1361416578292847,1.134920597076416,0.2527472674846649,0.0067155067808926105
611,2026-06-23 17:21:07.905,1782202867.905334,27.498753786087036,192.168.11.5,1.5231990814208984,1.1282051801681519,1.1465201377868652,0.15079365670681,0.005494505632668734
612,2026-06-23 17:21:07.940,1782202867.940959,27.53437876701355,192.168.11.5,1.4358974695205688,1.1190476417541504,1.1507936716079712,0.07326007634401321,0.0067155067808926105
613,2026-06-23 17:21:07.991,1782202867.991628,27.585047960281372,192.168.11.5,1.3443223237991333,1.1111111640930176,1.158730149269104,0.018925519660115242,0.0067155067808926105
614,2026-06-23 17:21:08.094,1782202868.094898,27.688318014144897,192.168.11.5,1.250915765762329,1.1025640964508057,1.1599512100219727,0.012820512987673283,0.008547008968889713
615,2026-06-23 17:21:08.096,1782202868.096914,27.69033408164978,192.168.11.5,1.16300368309021,1.0897436141967773,1.1514041423797607,0.013431013561785221,0.06288156658411026
616,2026-06-23 17:21:08.112,1782202868.112062,27.70548176765442,192.168.11.5,1.0781440734863281,1.0744811296463013,1.1440781354904175,0.012820512987673283,0.2680097818374634
617,2026-06-23 17:21:08.176,1782202868.176717,27.770137071609497,192.168.11.5,0.9981684684753418,1.0549451112747192,1.134920597076416,0.037240538746118546,0.47863247990608215
