rank,name,type,context_sec,seq_len,members,train_trials,test_trials,test_rows,rmse_mm,mae_mm,mean_joint_error_mm,p95_mean_joint_error_mm,r2_global,dir
1,Ensemble_TCN2_TCN4_Conv2,prediction_average_ensemble,,,tcn2+tcn4+conv2,,,13638,301.3660745527403,171.15791756290042,389.70229339878705,1110.3776680849278,0.9295794562625057,PIR_gpu_mixed/model_output/ensemble_tcn2_tcn4_conv2
2,Weighted_TCN4_TCN2_Conv2,prediction_average_ensemble,,,tcn4+tcn2+conv2,,,13638,302.80755862293364,172.30673808153458,392.1415673384733,1127.4452435808003,0.9289041787815107,PIR_gpu_mixed/model_output/ensemble_weighted_tcn4_tcn2_conv2
3,Ensemble_TCN2_TCN4_Conv2_GRU2,prediction_average_ensemble,,,tcn2+tcn4+conv2+gru2,,,13638,304.6106573471802,173.43969071239093,396.0744440289495,1122.8873483042296,0.9280549631696063,PIR_gpu_mixed/model_output/ensemble_tcn2_tcn4_conv2_gru2
4,TCN_4s,tcn,4.0,101,,rw_002+rw_003+rw_004+sit_003+sit_004+sit_005+sit_006+sit_007,rw_005+sit_008,13638,318.4562072753906,182.42501831054688,415.1469421386719,1178.1888427734375,0.9213660520965765,PIR_gpu_mixed/model_output/sequence_tcn4s_gpu
5,TCN_2s,tcn,2.0,51,,rw_002+rw_003+rw_004+sit_003+sit_004+sit_005+sit_006+sit_007,rw_005+sit_008,13738,321.8304748535156,183.45994567871094,418.41339111328125,1164.212158203125,0.9198144670002907,PIR_gpu_mixed/model_output/sequence_tcn2s_gpu
6,ConvTransformer_2s,convtransformer,2.0,51,,rw_002+rw_003+rw_004+sit_003+sit_004+sit_005+sit_006+sit_007,rw_005+sit_008,13738,326.7212829589844,186.93948364257812,427.65423583984375,1184.8443603515625,0.917358823628887,PIR_gpu_mixed/model_output/sequence_convtransformer2s_gpu
7,GRU_2s,gru,2.0,51,,rw_002+rw_003+rw_004+sit_003+sit_004+sit_005+sit_006+sit_007,rw_005+sit_008,13738,374.738525390625,223.2268524169922,515.2634887695312,1321.7130126953125,0.891282776224527,PIR_gpu_mixed/model_output/sequence_gru2s_gpu
8,MLP_2s,mlp,2.0,51,,rw_002+rw_003+rw_004+sit_003+sit_004+sit_005+sit_006+sit_007,rw_005+sit_008,13738,377.12066650390625,225.14544677734375,514.2413940429688,1311.2979736328125,0.8898961891711507,PIR_gpu_mixed/model_output/sequence_mlp2s_gpu
9,Ridge,ridge_regression,,,,rw_002+rw_003+rw_004+sit_003+sit_004+sit_005+sit_006+sit_007,rw_005+sit_008,13838,1126.6147227556744,820.9186752159342,1812.6891207654207,2865.1956246037525,0.014567380021284548,PIR_gpu_mixed/model_output/baseline_ridge
