model,trial,rows,rmse_mm,mae_mm,mean_joint_error_mm,p95_mean_joint_error_mm
PreviousBest_Ensemble_TCN2_TCN4_Conv2,rw_005,6663,280.49482149481776,148.1858677548652,338.93575925083985,1081.3844446934004
PreviousBest_Ensemble_TCN2_TCN4_Conv2,sit_008,6975,320.03508243258096,193.10240041205307,438.1979804281234,1119.0752802313045
Weighted_TCN2_TCN4_Conv2_Bone,rw_005,6663,279.67322305042023,147.60760447954794,337.48603359030346,1087.183659268167
Weighted_TCN2_TCN4_Conv2_Bone,sit_008,6975,319.10526685568857,192.51970921737535,436.61543109638944,1121.8070794524092
RawBoneTCN_4s,rw_005,6663,304.43106660428356,164.45759464314582,377.1043143191804,1183.8817193830844
RawBoneTCN_4s,sit_008,6975,355.8051390719399,216.1425199133421,488.98429900761465,1260.1670909297345
RootLocalTCN_4s,rw_005,6663,313.16071745928036,163.11473165744314,371.622815828321,1234.5661298855462
RootLocalTCN_4s,sit_008,6975,360.547581609402,215.31502997255862,492.0711748175502,1268.2346113459826
