count,timestamp_local,timestamp_unix,Time [sec],module_address,PIR sensor 00 (center) [V],PIR sensor 01 (tv) [V],PIR sensor 02 (kitchen) [V],PIR sensor 03 (closet) [V],PIR sensor 04 (sofa) [V]
612,2026-06-23 17:39:28.657,1782203968.657299,27.640456438064575,192.168.11.4,1.2521367073059082,1.168498158454895,0.004884005058556795,0.6892551779747009,1.1709401607513428
613,2026-06-23 17:39:28.700,1782203968.700261,27.68341851234436,192.168.11.4,1.2295482158660889,1.0109890699386597,0.004273504484444857,0.6373626589775085,1.1898657083511353
614,2026-06-23 17:39:28.737,1782203968.7377,27.720857858657837,192.168.11.4,1.183760643005371,0.8156288266181946,0.003052503103390336,0.6153846383094788,1.2045177221298218
615,2026-06-23 17:39:28.769,1782203968.769282,27.752439498901367,192.168.11.4,1.1330891847610474,0.6642246842384338,0.004273504484444857,0.6208791136741638,1.2106226682662964
616,2026-06-23 17:39:28.819,1782203968.819952,27.803109884262085,192.168.11.4,1.0940171480178833,0.550061047077179,0.004273504484444857,0.6452991366386414,1.2197802066802979
617,2026-06-23 17:39:28.847,1782203968.847282,27.830439567565918,192.168.11.4,1.0641025304794312,0.47069597244262695,0.004273504484444857,0.6819291710853577,1.2319902181625366
618,2026-06-23 17:39:28.879,1782203968.879091,27.862248420715332,192.168.11.4,1.0512820482254028,0.42490842938423157,0.005494505632668734,0.7301587462425232,1.2466422319412231
619,2026-06-23 17:39:28.949,1782203968.949735,27.932892560958862,192.168.11.4,1.0506715774536133,0.4065934121608734,0.004273504484444857,0.7930402755737305,1.2576313018798828
620,2026-06-23 17:39:28.978,1782203968.978619,27.96177625656128,192.168.11.4,1.0647131204605103,0.41819292306900024,0.004273504484444857,0.8547008633613586,1.2600733041763306
621,2026-06-23 17:39:29.030,1782203969.030307,28.01346445083618,192.168.11.4,1.0848596096038818,0.4670329689979553,0.005494505632668734,0.9224663972854614,1.264957308769226
622,2026-06-23 17:39:29.066,1782203969.066421,28.04957866668701,192.168.11.4,1.1117216348648071,0.5543345808982849,0.004884005058556795,0.9884004592895508,1.264957308769226
623,2026-06-23 17:39:29.094,1782203969.094996,28.076544761657715,192.168.11.4,1.1373625993728638,0.6886447072029114,0.005494505632668734,1.0549451112747192,1.2625153064727783
624,2026-06-23 17:39:29.136,1782203969.136949,28.120105981826782,192.168.11.4,1.1562881469726562,0.8632478713989258,0.005494505632668734,1.1275945901870728,1.2594627141952515
625,2026-06-23 17:39:29.182,1782203969.182946,28.16610288619995,192.168.11.4,1.1617826223373413,1.1025640964508057,0.0067155067808926105,1.2032966613769531,1.2478632926940918
626,2026-06-23 17:39:29.213,1782203969.213716,28.1968731880188,192.168.11.4,1.148962140083313,1.3431013822555542,0.005494505632668734,1.2698413133621216,1.2283272743225098
627,2026-06-23 17:39:29.259,1782203969.259123,28.24228072166443,192.168.11.4,1.1184371709823608,1.590354084968567,0.311355322599411,1.3400487899780273,1.2100121974945068
628,2026-06-23 17:39:29.299,1782203969.299671,28.282827854156494,192.168.11.4,1.057387113571167,1.8205127716064453,0.8089132905006409,1.407814383506775,1.186813235282898
629,2026-06-23 17:39:29.340,1782203969.340059,28.323216676712036,192.168.11.4,0.9755799770355225,1.991452932357788,1.3754578828811646,1.465201497077942,1.1678876876831055
630,2026-06-23 17:39:29.380,1782203969.380749,28.363906860351562,192.168.11.4,0.8730158805847168,2.08730149269104,1.95665442943573,1.5061050653457642,1.1526252031326294
